"HOG","error","coef_(Intercept)_Estimate","coef_(Intercept)_StdErr","coef_(Intercept)_z.value","coef_(Intercept)_p.value","coef_orb_weavingTRUE_Estimate","coef_orb_weavingTRUE_StdErr","coef_orb_weavingTRUE_z.value","coef_orb_weavingTRUE_p.value"
"N5.HOG0056182",NA,"-0.723087602101361","0.596664665483168","-1.21188272732024","0.225557274875724","-0.118423901069557","0.430864869257961","-0.274851605501065","0.783430248836791"
"N5.HOG0056183",NA,"-0.869278507257754","0.578316877980265","-1.50311799699441","0.132808618689391","0.286185925804073","0.37218998149407","0.768924312941594","0.441938243170962"
"N5.HOG0056197",NA,"-0.371435415878598","0.37752673909728","-0.983865187315612","0.325181802517733","-0.12717697929278","0.27357049264789","-0.46487827711912","0.64201862757085"
"N5.HOG0056206",NA,"0.42882578037787","0.129063116697052","3.32260518227254","0.000891810421184589","-0.339554409416084","0.102898060512994","-3.29991068561692","0.000967156030481237"
"N5.HOG0056207",NA,"0.237088190363343","0.259772520194947","0.912676176007452","0.361412877393496","0.0767475960619995","0.17543430287006","0.437472004086022","0.661769075053193"
"N5.HOG0056210",NA,"-0.599663526591109","0.57689751850024","-1.03946282894413","0.298589536828701","-0.455479960414528","0.488381615197865","-0.932631258508763","0.35101038831761"
"N5.HOG0056213",NA,"-1.06614937685195","0.579736272373323","-1.83902479050923","0.065911539867812","0.694122120551781","0.362728632659655","1.91361270672853","0.0556696602473882"
"N5.HOG0056217",NA,"0.325966394796317","0.165712556935597","1.96705911020974","0.0491763965697344","-0.336739871189109","0.131933456853092","-2.55234630563853","0.0107000106418656"
"N5.HOG0056219",NA,"0.348412261702102","0.18289562533984","1.90497865137405","0.0567828462511135","-0.253682206020271","0.139949841939028","-1.81266518422216","0.0698834774113675"
"N5.HOG0056235",NA,"0.236037939567071","0.203173492794277","1.16175558297888","0.245334760855993","-0.00803117055627604","0.140902137271361","-0.0569982167183806","0.954546615686165"
"N5.HOG0056238",NA,"-0.591827277672366","0.56939517263409","-1.03939637376008","0.298620429824831","-0.283639330555339","0.441826185778685","-0.641970393980714","0.520892406122233"
"N5.HOG0056241",NA,"-0.0215596231982256","0.209090027196423","-0.103111676282734","0.917874338087481","0.179209300182785","0.137489931157041","1.30343581289667","0.192426016597753"
"N5.HOG0056245",NA,"-0.478020852003542","0.516306480679778","-0.925847088679135","0.354525451839331","-1.22741648771596","0.701841102119236","-1.74885238839635","0.0803165383712416"
"N5.HOG0056255",NA,"-0.537374426079014","0.458441060314056","-1.17217778379381","0.241125685936479","0.074467212888436","0.309807587296254","0.240366007618873","0.810046527803879"
"N5.HOG0056258",NA,"-0.243319452456762","0.24296221534926","-1.00147034018021","0.316599472421902","0.121016809320199","0.162082947660537","0.746635047467511","0.455283886717552"
"N5.HOG0056262",NA,"0.0985130987818683","0.226719467259617","0.434515394609059","0.663914218154957","-0.0666866575382228","0.160516697508829","-0.415449972327988","0.67781253078697"
"N5.HOG0056264",NA,"0.466557499235043","0.212602050468976","2.19451081589228","0.0281987072486012","-0.598608074383273","0.194979965355456","-3.07010042437943","0.00213986805950514"
"N5.HOG0056278",NA,"0.236981184030959","0.202892011271809","1.1680163380779","0.242800174677528","-0.10271262974664","0.145615163374396","-0.705370425486199","0.480579743770069"
"N5.HOG0056281",NA,"-0.457241730583306","0.4212290269164","-1.0854943542959","0.277702762844876","0.158439956717733","0.278352069063347","0.569207037874309","0.569215645072565"
"N5.HOG0056282",NA,"-0.467102675333359","0.390562877194099","-1.19597304968957","0.231707076265982","0.228422954227071","0.254088673415144","0.898989125162069","0.368658453157387"
"N5.HOG0056284",NA,"0.194768781704996","0.317265864063278","0.613897692019428","0.539282935436096","-0.776997470364271","0.323714827061099","-2.40025295541257","0.0163837456523883"
"N5.HOG0056287",NA,"0.260959483740091","0.165855167945031","1.57341786194193","0.115622093727112","0.10737061213622","0.111049569672133","0.966871032938041","0.33360850904946"
"N5.HOG0056289",NA,"-0.0932015444965836","0.347368707795797","-0.268307255100746","0.788462822138644","-1.03509853303715","0.417018842086989","-2.48213852366227","0.0130596495429515"
"N5.HOG0056290",NA,"-2.00993587370797","0.995395299052124","-2.0192338416928","0.0434629204760461","1.83933370748054","0.71405452467288","2.57590092062391","0.0099979290620221"
"N5.HOG0056291",NA,"-0.709781345270301","0.509274250319718","-1.39371143313196","0.163404762300269","0.417067241604033","0.321979640365631","1.29532178224195","0.195209248058891"
"N5.HOG0056298",NA,"-0.0470497749356864","0.246846178530686","-0.190603618884209","0.848836154715575","-0.17450789880274","0.182391944202314","-0.956774157794883","0.338681258461341"
"N5.HOG0056301",NA,"0.358580719092189","0.278767294719767","1.28630842241611","0.198335444246607","-0.488808057649071","0.240305752783851","-2.03410884669391","0.0419406222037801"
"N5.HOG0056303",NA,"0.172065447796423","0.412037659544243","0.417596410936673","0.676242221321463","0.128688084422725","0.274323023390164","0.469111497942679","0.638989940915851"
"N5.HOG0056305",NA,"0.357913250773325","0.178584955079182","2.00416239214905","0.0450526676970956","-0.2392456782905","0.135753441051628","-1.7623544304819","0.0780094328051704"
"N5.HOG0056308",NA,"0.0956800002640486","0.233777381628034","0.409278261214706","0.682335466943655","-0.248542755494122","0.178462784298803","-1.39268675242668","0.163714536352659"
"N5.HOG0056310",NA,"0.238708855475421","0.229410267228119","1.04053257231969","0.298092539274307","-0.172050781096225","0.169332857797732","-1.01605077321579","0.309605209016142"
"N5.HOG0056312",NA,"-0.692182054726426","0.550982798194527","-1.25626799419979","0.209018821882345","-0.0536994308825353","0.388250188749657","-0.138311409597693","0.889994308622075"
"N5.HOG0056313",NA,"-0.285005172978806","0.324774302867272","-0.877548409657524","0.380188836862205","-0.111013936109031","0.233844268066241","-0.474734476183886","0.63497624123286"
"N5.HOG0056314",NA,"-0.0805006311144667","0.208672669018234","-0.385774675204028","0.699663552482272","-0.0799403880686888","0.148469410577903","-0.538430022437136","0.590280204122622"
"N5.HOG0056317",NA,"0.281711915437131","0.178512740932517","1.57810537200606","0.11454140428839","-0.0328673841212153","0.124860188808944","-0.263233496879519","0.792370614158273"
"N5.HOG0056319",NA,"0.473166765730859","0.18842153437029","2.51121384459688","0.0120316787809898","-0.444936715351168","0.158612184422189","-2.80518622810747","0.00502875159935284"
"N5.HOG0056322",NA,"-0.238723206482998","0.323244912908357","-0.73852115516719","0.460197816525736","0.213598973528572","0.210941508573873","1.01259811296821","0.311252161571249"
"N5.HOG0056329",NA,"-0.818805346992988","0.426389462640313","-1.92032265976447","0.0548171558676585","-0.254033066371698","0.326321467257455","-0.778474884005336","0.436289107598283"
"N5.HOG0056331",NA,"-0.143334217572741","0.346911272362585","-0.413172557341783","0.679480192674433","0.0987829033023002","0.232825197534659","0.424279263362785","0.671362160461193"
"N5.HOG0056345",NA,"0.431964013145522","0.224522332801385","1.9239244833949","0.0543640498412982","0.0305278373112237","0.153762575243924","0.19853880089349","0.842623530184673"
"N5.HOG0056350",NA,"-0.441248947108213","0.356857427666881","-1.23648525404972","0.216278243620673","-0.30899107948326","0.280284060433727","-1.10242116160694","0.270278615781106"
"N5.HOG0056351",NA,"-1.35802281925253","0.561635463628871","-2.41797911135809","0.0156069727189275","0.54805674444419","0.591229873125873","0.926977423428515","0.353938256281687"
"N5.HOG0056356",NA,"-0.594869861217752","0.548282449484902","-1.08496973006635","0.277935062141007","0.692374060225772","0.343037187513231","2.0183644381094","0.0435533201988277"
"N5.HOG0056363",NA,"-0.210102609841505","0.326006515788973","-0.64447365210794","0.519268337748202","-0.0325680841493184","0.228000365392041","-0.142842245420608","0.886414772140768"
"N5.HOG0056374",NA,"-0.596554930384966","0.630989740549017","-0.945427305784575","0.34444076720809","0.354249195496123","0.40189417391319","0.881448944747931","0.378074876179858"
"N5.HOG0056381",NA,"-0.0919324394620874","0.180751387732261","-0.508612634267919","0.611023771321753","-0.0316416443681977","0.126371802013438","-0.250385322232194","0.802289379349761"
"N5.HOG0056382",NA,"0.401568197866945","0.247452230781086","1.62281098294968","0.104629817190474","-0.536914464727512","0.219089056146249","-2.45066766077583","0.0142591538789959"
"N5.HOG0056396",NA,"-0.899678169785346","0.43790056221194","-2.05452618110572","0.0399247920765995","0.42752156726021","0.276568727021622","1.54580589014602","0.122151454094298"
"N5.HOG0056400",NA,"-0.517464332955271","0.422815229459402","-1.22385452770205","0.221007110075737","0.0774798254330742","0.285482814420298","0.271399263000839","0.786083968819192"
"N5.HOG0056401",NA,"-0.686097541023621","0.436398331184022","-1.57218186229568","0.115908380608497","-0.288221770644499","0.33936252955777","-0.849303460285041","0.395712455902247"
"N5.HOG0056405",NA,"-1.08299003099997","0.672747363024176","-1.60980197102764","0.107441094800621","-0.00722180619149062","0.466427646943126","-0.0154832292614319","0.987646664001244"
"N5.HOG0056411",NA,"-0.736328329559365","0.663675675281871","-1.10947011768457","0.267227428577054","-0.176471064531498","0.49079064948566","-0.359564846470561","0.71917257608347"
"N5.HOG0056412",NA,"-0.722099686606084","0.477892126991801","-1.51100979869976","0.130785954370762","0.0678805429340715","0.323575193823129","0.209782901254093","0.833837118940779"
"N5.HOG0056414",NA,"0.123854802681757","0.190677841122627","0.649550057586947","0.515982902032138","0.34214601400131","0.121649988551278","2.81254456392396","0.00491512122407019"
"N5.HOG0056416",NA,"-0.806301498875273","0.503527622465651","-1.60130539597215","0.109309294474128","0.130684322074527","0.335060933074494","0.390031511210148","0.696513245937713"
"N5.HOG0056417",NA,"-0.0077909197497973","0.285237608170434","-0.0273137886682254","0.978209459205198","0.0699283833805469","0.193014894712281","0.362295269931297","0.717131392485437"
"N5.HOG0056422",NA,"-0.839463695290163","0.573425983822724","-1.46394429093343","0.143209170386186","-0.0484948232574021","0.403308453503982","-0.120242516208313","0.904291039013797"
"N5.HOG0056431",NA,"-1.00629959197426","1.26232385469077","-0.797180207151178","0.425346379445907","-0.583647106153253","0.806909777899829","-0.723311480587497","0.469488541026281"
"N5.HOG0056432",NA,"0.617030804451816","0.184922381205278","3.33670159571904","0.000847789192376342","-0.510398697851647","0.161318652171527","-3.16391620547976","0.00155661605479833"
"N5.HOG0056434",NA,"-0.439285326772188","0.326785053346376","-1.34426382808447","0.178863088046762","0.0594698107150305","0.221815302281306","0.268105086093703","0.788618430973112"
"N5.HOG0056439",NA,"-0.107597321382578","0.236134774536194","-0.45566063530421","0.648634033147722","-0.168347308221188","0.174024819310495","-0.967375279504376","0.333356463350946"
"N5.HOG0056441",NA,"0.0525498021739777","0.190076897258092","0.276466014187007","0.782190159518154","0.404668300537556","0.120328891357637","3.36301860651916","0.000770951673402069"
"N5.HOG0056448","system is computationally singular: reciprocal condition number = 1.88352e-16",NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0056450",NA,"-0.0187061662767707","0.312752035527006","-0.0598114932977166","0.952305771638965","0.0969848575809429","0.210004378230807","0.461823026729238","0.644208236547794"
"N5.HOG0056454",NA,"-0.741230900194004","0.495649124394353","-1.49547505223526","0.134790506081215","-0.0986449502081536","0.597408663836403","-0.165121392071353","0.868848435684499"
"N5.HOG0056461",NA,"-0.122938719118146","0.347837587775663","-0.353437131117168","0.723760753119833","-0.697053779977095","0.338081435895913","-2.06179253270713","0.039227492310421"
"N5.HOG0056462",NA,"-0.624721959046878","0.438923878286951","-1.42330365229859","0.154648148687215","0.848641088680359","0.276532780981963","3.0688625256899","0.00214875445524035"
"N5.HOG0056463",NA,"-0.199041449774732","0.291443734489057","-0.682949832919485","0.494638543287081","-0.356785971940748","0.234366960550174","-1.52233903235847","0.127924152662472"
"N5.HOG0056464",NA,"-0.252530442536585","0.231898810604108","-1.08896825248362","0.27616788600098","0.46238685219516","0.146015664900919","3.16669346750514","0.00154182747821292"
"N5.HOG0056465",NA,"-0.769486399916517","8.40146002282813","-0.0915896044051508","0.927024111215201","-1.4238565181543","6.72434349774073","-0.211746547247726","0.832304771927902"
